Player ID,First Name,Last Name,Team ID,Team Abbreviation,Headshot,Sweater Number,Position,Goals,Assists,Points,Games Played,Plus/Minus
8477380,Jonny,Brodzinski,3,NYR,https://assets.nhle.com/mugs/nhl/20242025/NYR/8477380.png,22,C,17,23,40,172,11
8475842,Sam,Carrick,3,NYR,https://assets.nhle.com/mugs/nhl/20242025/NYR/8475842.png,39,C,29,28,57,264,-38
8480078,Filip,Chytil,3,NYR,https://assets.nhle.com/mugs/nhl/20242025/NYR/8480078.png,72,C,68,85,153,354,-2
8482157,Will,Cuylle,3,NYR,https://assets.nhle.com/mugs/nhl/20242025/NYR/8482157.png,50,L,22,19,41,109,5
8481726,Adam,Edstrom,3,NYR,https://assets.nhle.com/mugs/nhl/20242025/NYR/8481726.png,84,C,4,1,5,35,1
8481554,Kaapo,Kakko,3,NYR,https://assets.nhle.com/mugs/nhl/20242025/NYR/8481554.png,24,R,61,69,130,324,14
8475184,Chris,Kreider,3,NYR,https://assets.nhle.com/mugs/nhl/20242025/NYR/8475184.png,20,L,314,248,562,836,124
8482109,Alexis,Lafrenière,3,NYR,https://assets.nhle.com/mugs/nhl/20242025/NYR/8482109.png,13,L,83,82,165,322,-4
8478550,Artemi,Panarin,3,NYR,https://assets.nhle.com/mugs/nhl/20242025/NYR/8478550.png,10,L,278,532,810,696,153
8475191,Reilly,Smith,3,NYR,https://assets.nhle.com/mugs/nhl/20242025/NYR/8475191.png,91,R,216,309,525,863,128
8476389,Vincent,Trocheck,3,NYR,https://assets.nhle.com/mugs/nhl/20242025/NYR/8476389.png,16,C,203,328,531,743,7
8476918,Jimmy,Vesey,3,NYR,https://assets.nhle.com/mugs/nhl/20242025/NYR/8476918.png,26,L,98,91,189,596,-54
8476459,Mika,Zibanejad,3,NYR,https://assets.nhle.com/mugs/nhl/20242025/NYR/8476459.png,93,C,299,397,696,872,30
8479323,Adam,Fox,3,NYR,https://assets.nhle.com/mugs/nhl/20242025/NYR/8479323.png,23,D,53,275,328,381,112
8481708,Zac,Jones,3,NYR,https://assets.nhle.com/mugs/nhl/20242025/NYR/8481708.png,6,D,4,21,25,87,-3
8479324,Ryan,Lindgren,3,NYR,https://assets.nhle.com/mugs/nhl/20242025/NYR/8479324.png,55,D,11,73,84,352,100
8480817,K'Andre,Miller,3,NYR,https://assets.nhle.com/mugs/nhl/20242025/NYR/8480817.png,79,D,30,79,109,318,41
8482073,Braden,Schneider,3,NYR,https://assets.nhle.com/mugs/nhl/20242025/NYR/8482073.png,4,D,14,42,56,230,20
8476885,Jacob,Trouba,3,NYR,https://assets.nhle.com/mugs/nhl/20242025/NYR/8476885.png,8,D,73,242,315,772,53
8471734,Jonathan,Quick,3,NYR,https://assets.nhle.com/mugs/nhl/20242025/NYR/8471734.png,32,G,0,21,0,787,0
8478048,Igor,Shesterkin,3,NYR,https://assets.nhle.com/mugs/nhl/20242025/NYR/8478048.png,31,G,0,3,0,231,0
8481553,Bobby,Brink,4,PHI,https://assets.nhle.com/mugs/nhl/20242025/PHI/8481553.png,10,R,15,24,39,89,-12
8480220,Noah,Cates,4,PHI,https://assets.nhle.com/mugs/nhl/20242025/PHI/8480220.png,27,L,25,45,70,178,9
8476461,Sean,Couturier,4,PHI,https://assets.nhle.com/mugs/nhl/20242025/PHI/8476461.png,14,C,197,315,512,819,71
8475235,Nicolas,Deslauriers,4,PHI,https://assets.nhle.com/mugs/nhl/20242025/PHI/8475235.png,44,L,51,51,102,653,-96
8480797,Joel,Farabee,4,PHI,https://assets.nhle.com/mugs/nhl/20242025/PHI/8480797.png,86,L,85,105,190,359,-27
8482159,Tyson,Foerster,4,PHI,https://assets.nhle.com/mugs/nhl/20242025/PHI/8482159.png,71,R,28,20,48,109,-1
8480028,Morgan,Frost,4,PHI,https://assets.nhle.com/mugs/nhl/20242025/PHI/8480028.png,48,C,42,78,120,250,-30
8477903,Garnet,Hathaway,4,PHI,https://assets.nhle.com/mugs/nhl/20242025/PHI/8477903.png,19,R,67,80,147,564,46
8478439,Travis,Konecny,4,PHI,https://assets.nhle.com/mugs/nhl/20242025/PHI/8478439.png,11,R,187,243,430,589,-26
8476872,Scott,Laughton,4,PHI,https://assets.nhle.com/mugs/nhl/20242025/PHI/8476872.png,21,C,98,149,247,626,-40
8484387,Matvei,Michkov,4,PHI,https://assets.nhle.com/mugs/nhl/20242025/PHI/8484387.png,39,R,9,10,19,23,0
8480068,Ryan,Poehling,4,PHI,https://assets.nhle.com/mugs/nhl/20242025/PHI/8480068.png,25,C,32,40,72,237,-37
8480015,Owen,Tippett,4,PHI,https://assets.nhle.com/mugs/nhl/20242025/PHI/8480015.png,74,R,78,76,154,295,-45
8482126,Emil,Andrae,4,PHI,https://assets.nhle.com/mugs/nhl/20242025/PHI/8482126.png,36,D,1,3,4,19,3
8482142,Jamie,Drysdale,4,PHI,https://assets.nhle.com/mugs/nhl/20242025/PHI/8482142.png,9,D,11,42,53,162,-71
