Player ID,First Name,Last Name,Team Abbreviation,Sweater Number,Position,Goals,Assists,Points,Games Played,Plus/Minus
8482768,Fedor,Svechkov,NSH,40,C,0,0,0,3,0
8483565,Nick,Blankenburg,NSH,37,D,6,12,18,56,-17
8478851,Alexandre,Carrier,NSH,45,D,11,57,68,240,28
8481743,Marc,Del Gaizo,NSH,7,D,0,6,6,25,1
8474600,Roman,Josi,NSH,59,D,186,518,704,932,72
8478468,Jeremy,Lauzon,NSH,3,D,14,31,45,310,-12
8474568,Luke,Schenn,NSH,2,D,44,155,199,1019,-45
8476869,Brady,Skjei,NSH,76,D,70,186,256,632,16
8482482,Adam,Wilsby,NSH,83,D,0,0,0,1,0
8477424,Juuse,Saros,NSH,74,G,0,8,0,369,0
8475809,Scott,Wedgewood,NSH,41,G,0,0,0,135,0
8482737,Zack,Bolduc,STL,76,C,7,9,16,43,5
8477402,Pavel,Buchnevich,STL,89,L,168,248,416,541,49
8476889,Radek,Faksa,STL,12,C,91,115,206,662,-17
8482077,Dylan,Holloway,STL,81,C,15,15,30,113,5
8478472,Mathieu,Joseph,STL,71,R,57,82,139,375,15
8479385,Jordan,Kyrou,STL,25,C,121,160,281,358,-37
8482089,Jake,Neighbours,STL,63,L,41,20,61,153,-47
8476438,Brandon,Saad,STL,20,L,257,251,508,884,50
8475170,Brayden,Schenn,STL,10,C,264,382,646,964,-53
8476897,Oskar,Sundqvist,STL,70,C,58,89,147,441,-19
8480074,Alexandre,Texier,STL,9,C,35,47,82,213,-18
8480023,Robert,Thomas,STL,18,C,88,237,325,408,24
8480281,Alexey,Toropchenko,STL,13,R,27,19,46,201,-8
8477573,Nathan,Walker,STL,26,L,23,22,45,175,4
8481598,Philip,Broberg,STL,6,D,4,18,22,93,1
8475753,Justin,Faulk,STL,72,D,127,305,432,926,-63
